,songs,artists,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,clusters
444,Never Alone,Felix Jaehn,spotify:track:4w3InOZmItJiSlhnkr3lv6,0.675,0.8270000000000001,-4.793,0.038,0.0559,2.46e-06,0.446,125.988,5
445,Awa Ni,The Knocks,spotify:track:4ob71GMH7PAokRzPhejagR,0.667,0.818,-6.167000000000001,0.131,0.0358,0.000117,0.43,119.005,5
446,Love Me (Don't Worry),Thom Merlin,spotify:track:6pi7j1y3hVecCmLsYwSLUx,0.713,0.731,-7.582999999999999,0.102,0.0813,0.0,0.174,119.911,5
447,Wrong Side of Love (with Darius Rucker),Young Bombs,spotify:track:1vxjmNMsJRLEhoYGpOXOXB,0.563,0.8740000000000001,-4.122,0.0377,0.114,0.0,0.23199999999999998,102.021,7
448,Start A Riot - Thundatraxx Remix,BANNERS,spotify:track:0EA7tn6U2YpoUIOjN3AP02,0.642,0.77,-5.653,0.0299,0.015,2.8600000000000004e-05,0.618,94.98100000000001,4
449,Baianá,Bakermat,spotify:track:7MUazB4rGIqFFIkjT95rCO,0.564,0.723,-6.983,0.0702,0.000741,0.672,0.466,121.97,11
450,All or Nothing - Sultan + Shepard Remix,Lost Frequencies,spotify:track:52DNTZvyZREUZC6dEjq3J6,0.733,0.8640000000000001,-2.003,0.0385,0.382,0.11699999999999999,0.387,125.895,5
451,Ordinary Fools,Prince Paris,spotify:track:3nJ5dYFdy8a0viZ2FyhIaf,0.736,0.792,-4.9030000000000005,0.0444,0.14800000000000002,4.79e-06,0.353,117.961,5
452,Moments,Klangkarussell,spotify:track:0e4xfVTScciruWRTHG3Myh,0.775,0.599,-8.48,0.0469,0.175,0.031,0.39299999999999996,123.97,5
453,Seve - Radio Edit,Tez Cadey,spotify:track:6UqRGwjwYL0stXbaodTxwo,0.74,0.831,-7.321000000000001,0.0456,0.444,0.0030399999999999997,0.44799999999999995,121.03399999999999,5
454,Heatwave (feat. Akon) - HUGEL Remix,Robin Schulz,spotify:track:1Rev0uexcpMr1ERkucbXnT,0.8,0.764,-4.712,0.0368,0.0105,0.000468,0.562,122.98200000000001,8
455,Déjà Vu,Sam Feldt,spotify:track:2vajU8g5DJCuthr5pb7RVT,0.748,0.475,-11.255999999999998,0.0279,0.13,6.0899999999999996e-05,0.408,119.994,5
456,Himalaya,LVNDSCAPE,spotify:track:310yA0OSNvWriki14qBLeY,0.429,0.774,-8.846,0.0493,0.032,0.7090000000000001,0.0671,119.975,11
457,Whatever You Like - Radio Edit,Dasco,spotify:track:200UDgTJl6xvSejJzMP6Ne,0.674,0.805,-4.867,0.0401,0.0401,4.5799999999999995e-05,0.537,109.99799999999999,4
458,My Love,MVCA,spotify:track:398CKeawsPHfonnxsimsPe,0.6579999999999999,0.647,-7.73,0.0408,0.078,0.32799999999999996,0.46299999999999997,120.02600000000001,5
459,Skyline,Möwe,spotify:track:0HkwDCJIbWijtfKg63gQBJ,0.629,0.87,-3.352,0.0304,0.0325,1.71e-06,0.628,117.96,4
460,Make You Mine,REZarin,spotify:track:7DQpYJwxEIS8qROVpZ2tmf,0.7609999999999999,0.745,-6.032,0.0423,0.14,0.0181,0.489,122.01899999999999,5
461,Show Me Love - EDX Remix / Radio Edit,Sam Feldt,spotify:track:4bAmAVdks2Y84VNVVLXFwN,0.836,0.665,-5.779,0.0745,0.308,0.000925,0.677,120.99700000000001,8
462,Sun Don't Shine,Klangkarussell,spotify:track:6n0OQD5aGspHuwFPJ2ePGC,0.456,0.563,-8.627,0.0644,0.191,0.00109,0.213,119.94,1
463,Love That We Need,Silience,spotify:track:58U52B6rDjT30RIquT51dE,0.579,0.7759999999999999,-6.593999999999999,0.0478,0.0023,3.36e-06,0.565,123.95,4
464,We Turn The World Around,Tanja La Croix,spotify:track:33uV0G85zoAlzHYTJyaGRl,0.6609999999999999,0.831,-4.9639999999999995,0.0419,0.0411,0.00236,0.369,121.992,5
465,Oxas,GAMPER & DADONI,spotify:track:3Zg6kO3S4FQ0jMfTIgHzyl,0.7559999999999999,0.591,-8.749,0.03,0.0276,0.391,0.48100000000000004,125.00299999999999,5
466,Journey - Radio Mix,BUNT.,spotify:track:66MrwENuBlVccH7t848vjD,0.502,0.43700000000000006,-17.997,0.0482,0.318,0.106,0.40700000000000003,123.913,1
467,Freak - Sam Feldt Remix Edit,R3HAB,spotify:track:5SNTUBSq1Qzi0URdB443h1,0.636,0.77,-5.671,0.125,0.469,0.0,0.44299999999999995,118.038,5
468,Twilight,Luca,spotify:track:2fvhV6sto6aEblNbnZmttv,0.527,0.447,-11.152000000000001,0.0685,0.905,0.39,0.147,95.771,9
469,Recognise,Lost Frequencies,spotify:track:510UgVCpnUaQ5ACHW2J8gu,0.7170000000000001,0.741,-6.645,0.053,0.155,0.0,0.188,105.99700000000001,5
470,I'll Be Back,Sam Feldt,spotify:track:7iymoplUkeIAat6dSn6wrR,0.7190000000000001,0.598,-7.327000000000001,0.0326,0.28300000000000003,4.42e-06,0.503,120.085,5
471,Home,Steve Kroeger,spotify:track:3zE7oYotxr3EUTSSje7Ube,0.706,0.7140000000000001,-7.0920000000000005,0.0403,0.19699999999999998,0.00387,0.57,125.088,5
472,Looking For Love,Nick Martin,spotify:track:3CIzp3oPhSkSMZjANQPtVV,0.621,0.893,-4.146,0.0431,0.0105,0.00011499999999999999,0.45899999999999996,105.005,4
473,Breathin' (feat. Cara Hughes),Bortharm,spotify:track:4QonXqjNiT2KXPkTkZy3tD,0.7090000000000001,0.725,-2.658,0.0422,0.0371,0.000168,0.37200000000000005,125.92399999999999,5
474,The Ocean - Radio Mix,Max Manie,spotify:track:29po4gh9mZvigdLh6YlKUe,0.7440000000000001,0.79,-7.289,0.0398,0.0576,0.9159999999999999,0.163,119.007,11
475,Alive,Horizon Blue,spotify:track:4eZiBjSsbi4ObiL8s5rzP7,0.623,0.715,-7.832999999999999,0.0319,0.185,2.3100000000000002e-05,0.39799999999999996,123.955,5
476,Too Good,A&G,spotify:track:2ZIMKOI0DT7wM3qTND0IWm,0.728,0.66,-7.122000000000001,0.0687,0.22699999999999998,5.82e-06,0.6970000000000001,108.103,8
477,Blackbird,Sam Feldt,spotify:track:61blBldjlrjCOiMnRfNSFk,0.696,0.7390000000000001,-6.6160000000000005,0.0352,0.201,0.000726,0.16899999999999998,117.973,5
478,44th and 8th,Sean Bradford,spotify:track:3q1dhgO6MmeA7LUoz86BPh,0.841,0.691,-5.303999999999999,0.0374,0.425,6.01e-05,0.262,120.042,5
479,Miami 82 - Kygo Remix,Syn Cole,spotify:track:7l15QDWp4v3TYh5u3pQjxa,0.708,0.6,-7.099,0.0407,0.177,0.11900000000000001,0.604,112.995,5
480,Montrose Ave,Y.V.E. 48,spotify:track:1kFu2TuUmsARXGYc2eYXiC,0.6920000000000001,0.585,-6.456,0.0308,0.00116,0.895,0.667,121.999,11
481,Seduction,Boris Way,spotify:track:23OzWEhGGgu7RSqzKhsGhE,0.794,0.857,-5.462999999999999,0.0407,0.10099999999999999,0.12,0.235,121.976,5
482,Tonight and Every Night,Robin Schulz,spotify:track:3nbtUMjRUH5VDwhvvcPRF8,0.77,0.6409999999999999,-7.556,0.0852,0.28300000000000003,0.00038500000000000003,0.29,123.98200000000001,5
483,The Sun - Klingande Remix Radio Edit,Parov Stelar,spotify:track:5ahvjrjn7ymaeaWKFZrsca,0.612,0.7609999999999999,-6.7829999999999995,0.307,0.0935,0.355,0.46,124.928,6
484,Home (feat. Nico Santos) - Marcapasos Radio Remix,Topic,spotify:track:2NsWGd3UslepVF25pKw1sp,0.75,0.731,-6.289,0.0329,0.0493,2.55e-06,0.391,123.012,5
485,The Sweetest Sin,RÆVE,spotify:track:57wbOuofBE6Cb3mMPuQ24i,0.6859999999999999,0.799,-4.816,0.0284,0.203,0.0534,0.159,124.00200000000001,5
486,Be Okay,Namic,spotify:track:60cDK8K6EAvk7SI7xOGVun,0.648,0.48200000000000004,-8.998,0.0304,0.0769,2.21e-06,0.35700000000000004,109.90899999999999,5
487,Spirits - Sondr Remix,The Strumbellas,spotify:track:2X7ImJ12Sd2mwW8m29x7Ka,0.65,0.882,-4.357,0.0692,0.0551,0.0,0.728,102.469,4
488,Baby,Bakermat,spotify:track:1bA2ZK7CFxEMnyn1dWP2jp,0.708,0.922,-2.715,0.11599999999999999,0.135,0.0513,0.637,125.961,8
489,Maaya,Achtabahn,spotify:track:6p8uFTidsF68EHK5p753gU,0.8290000000000001,0.765,-6.2829999999999995,0.0414,0.632,0.76,0.736,121.98200000000001,11
490,Better,Hot Shade,spotify:track:69uCmYNvkqnvIpyTKJXZ5P,0.575,0.741,-2.904,0.0352,0.0826,0.0,0.365,109.98700000000001,5
491,Ha Leh Lou Ya,Robin Schulz,spotify:track:1gAbEXZi4ZrmA5KPQARXrD,0.708,0.777,-6.232,0.113,0.0097,2.62e-05,0.298,120.01700000000001,5
492,Oh Baby,Seizo,spotify:track:2MmmLzAFA2XmKB4hP843gh,0.696,0.7979999999999999,-5.011,0.0345,0.0281,0.00119,0.38799999999999996,124.023,5
493,Own the Night,Tropixx,spotify:track:0DHUariIorcAgunTr0GTy2,0.609,0.696,-7.811,0.038,0.337,0.00041600000000000003,0.185,104.994,5
494,Regulate - Le Boeuf Remix,Warren G,spotify:track:6RBsFW2PBiJtCYZmNpia5G,0.85,0.7290000000000001,-4.088,0.0496,0.0702,0.0498,0.731,111.99,8
495,Tired - Kygo Remix,Alan Walker,spotify:track:3t0J8vI9StQD8KIBkT2Cp5,0.598,0.74,-7.391,0.0684,0.026000000000000002,0.0,0.342,123.945,5
496,Heaven,Alex Adair,spotify:track:3sFCrYlKCEnrTRfXEafPai,0.55,0.925,-4.573,0.0882,0.0352,0.00017900000000000001,0.358,121.823,7
497,On My Side,Hounded,spotify:track:5hRVBXMn6TFyOncZTYl7ej,0.6679999999999999,0.612,-6.664,0.0598,0.501,0.00011100000000000001,0.49200000000000005,115.006,0
498,Pacing,Tep No,spotify:track:6cWZQNgaL8yLtezJvag9Y9,0.5489999999999999,0.594,-6.3020000000000005,0.0496,0.65,3.570000000000001e-05,0.324,99.936,0
499,Praise You (Chill Mix) - Extended Mix,King Arthur,spotify:track:4MQH3f29tWW0P0DE6SgOlb,0.623,0.705,-6.035,0.0338,0.243,0.025,0.036000000000000004,100.025,5
500,Been A While,Sam Feldt,spotify:track:4mPOYg53faLL6brBcoZ5T8,0.779,0.695,-6.064,0.031,0.425,0.000769,0.392,120.00399999999999,5
501,Ocean Drive,Duke Dumont,spotify:track:0k93MXOj0kSXo84SvSDeUz,0.6890000000000001,0.711,-5.027,0.0455,0.0071400000000000005,0.000499,0.5660000000000001,115.04799999999999,5
502,Find My Way,Vall,spotify:track:71aQJIzGtxrrT1lhdteajB,0.722,0.528,-8.55,0.166,0.413,0.0,0.581,99.96600000000001,14
503,Dreams,Campsite Dream,spotify:track:1SNoSoQ3JZldOhzBY9gw0n,0.642,0.9129999999999999,-5.249,0.0517,0.0291,0.00054,0.474,120.035,4
504,Coming Over - filous Remix,James Hersey,spotify:track:2kpziA4mHuM7Na6La4upg1,0.7909999999999999,0.494,-11.077,0.0456,0.478,0.00475,0.317,109.99799999999999,0
505,Summer on You,Sam Feldt,spotify:track:7Ct0Q46k5PkXzYiNE5D2dn,0.731,0.727,-5.608,0.0356,0.0295,4.56e-06,0.601,120.96799999999999,8
506,Dizzy,Dimmi,spotify:track:7qBNJBQJJjQjYFZlP3IPhK,0.8109999999999999,0.51,-6.474,0.0424,0.0197,0.07200000000000001,0.6409999999999999,125.035,8
507,Forever And A Day - LVNDSCAPE Remix,Bolier,spotify:track:4MmESCOyomLv2BmcHkVAQY,0.6779999999999999,0.8740000000000001,-6.768,0.0346,0.0283,0.0577,0.47700000000000004,118.429,5
508,Fall At Your Feet,Lucy Neville,spotify:track:69lKbD1RGW41qnsksqtMuq,0.713,0.6659999999999999,-7.636,0.0327,0.107,0.124,0.111,110.00399999999999,5
509,Feels Like Home - Radio Edit,The Him,spotify:track:7MCgEv2ovQuxfijz2WZ4kH,0.65,0.8270000000000001,-3.792,0.0926,0.0265,5.88e-05,0.498,122.057,4
510,Ori Tali Ma - LVNDSCAPE Remix,Sander van Doorn,spotify:track:2ZdsweqvRBAoFs5c09oJk3,0.679,0.825,-5.59,0.0307,0.0148,0.318,0.0837,110.01100000000001,5
511,Chasing After You,Sam Feldt,spotify:track:67jtXlxQs82ATZhfdywYJa,0.613,0.914,-5.511,0.0426,0.0055,0.0009050000000000001,0.36,124.97399999999999,5
512,Above the Clouds,Robin Schulz,spotify:track:6wHdTGv5xb3HU7As15DLda,0.575,0.601,-8.986,0.0761,0.0206,0.0224,0.204,122.012,5
513,Good When We're Together (feat. Cooperated Souls) - Radio Edit,Kav Verhouzer,spotify:track:2JvJVg3ad7qto5pTH5iOJt,0.6809999999999999,0.8140000000000001,-4.556,0.0317,0.0309,0.000267,0.586,124.04700000000001,4
514,Running Out - Samuraii Remix,Matoma,spotify:track:3bu38wOOaBOOf4OYi23R6a,0.522,0.306,-13.565999999999999,0.33799999999999997,0.337,0.0797,0.223,185.828,6
515,Every Single Piece (feat. She Keeps Bees) - LVNDSCAPE Remix,Redondo,spotify:track:3jNA7We9ZToTbDQrjTwxcu,0.675,0.7190000000000001,-6.393,0.0383,0.0271,0.0376,0.391,110.38799999999999,5
516,Right Now - Sam Feldt Radio Edit,King Arthur,spotify:track:3c9lsHSkV0F3O2E9512ERZ,0.657,0.941,-2.255,0.033,0.152,3.76e-06,0.615,123.075,4
517,Younger - Kygo Remix,Seinabo Sey,spotify:track:7vHshinTU8161w69EPbabY,0.69,0.489,-7.938,0.0788,0.13,0.00022,0.645,114.008,0
518,Future Self,Boehm,spotify:track:0Oom8UCxknB2ussaW0P9HL,0.804,0.8640000000000001,-5.252000000000001,0.0291,0.364,0.0705,0.91,125.00399999999999,8
519,Do This Together,Kav Verhouzer,spotify:track:4O6WRfwTUx0UdVuWMC4jeR,0.9,0.568,-7.412999999999999,0.0376,0.52,0.00834,0.37,121.98899999999999,0
520,Claudius - Original Mix,Max Manie,spotify:track:5O32VeaZ74VRrhOyOcXi70,0.693,0.544,-7.147,0.0327,0.27699999999999997,0.228,0.0992,119.024,5
521,Be My Lover,Sam Feldt,spotify:track:1aajQbw23khpQMme1AeKI6,0.748,0.742,-5.581,0.0284,0.0273,1.22e-06,0.754,119.96600000000001,8
522,Sunrise,On June,spotify:track:2lQsQkVilu43cjz7ZLeswm,0.621,0.633,-7.367999999999999,0.21,0.358,5.400000000000001e-06,0.43799999999999994,116.206,14
523,Set The World (On Fire),Flatdisk,spotify:track:1UtjCEfOU9JaAMuGIhBPBx,0.713,0.722,-7.1129999999999995,0.0611,0.175,1.1400000000000001e-05,0.48200000000000004,123.99,5
524,No Diggity,Campsite Dream,spotify:track:79T9m6YkRCgP0955CE4UCd,0.711,0.7140000000000001,-4.7139999999999995,0.0374,0.183,0.0287,0.389,104.912,5
525,Never Gonna Give You Up,Mac Beez,spotify:track:5fnDDcjcXKUvJ6iSnpiU0v,0.765,0.7509999999999999,-5.336,0.0286,0.33299999999999996,0.64,0.862,105.95299999999999,8
526,Dancer (Kygo Remix),Didrik Thulin,spotify:track:7ctdCk91bL7jjDx3hmbB5z,0.733,0.555,-11.67,0.0401,0.0389,0.0254,0.8390000000000001,119.999,8
527,Riptide - FlicFlac Remix,Vance Joy,spotify:track:5K9AcgSi8DK4lZKM2LpFu8,0.708,0.667,-7.934,0.0418,0.253,0.000692,0.634,115.98700000000001,0
528,Panamalu,Fabio Carry,spotify:track:6RxxunHQUOtYojwJGDLB51,0.705,0.55,-6.468999999999999,0.0355,0.115,0.0,0.449,114.992,5
529,Beat the Sunrise,SNBRN,spotify:track:7th2B8tA26On1RAt2WmnMI,0.71,0.8240000000000001,-6.001,0.027999999999999997,0.0119,0.0005740000000000001,0.20800000000000002,124.0,5
530,From Me To You - Edit,Yolanda Be Cool,spotify:track:1AgZA1lTtCXeIbhXrIup4W,0.633,0.956,-2.26,0.0358,0.10800000000000001,0.0402,0.596,123.971,4
531,Almost Mine - Radio Edit,Wankelmut,spotify:track:0elb6lDN4B5Ao3TWoXYUzs,0.708,0.8,-5.072,0.0427,0.0513,1.0199999999999999e-05,0.484,122.06200000000001,5
532,Catch & Release (Deepend remix),Matt Simons,spotify:track:4FqrgfKej2jv450UFW6PP8,0.836,0.537,-8.609,0.0448,0.516,0.00128,0.115,105.014,5
533,Come to Me - Radio Edit,Lily & Madeleine,spotify:track:2aFujKFsDGMuV6BXsdyU9y,0.7909999999999999,0.695,-7.879,0.0482,0.125,0.0119,0.45,127.045,5
534,Wherever I Go,Michael Brun,spotify:track:3wc0kpZM2lv5UlbA9NFteg,0.723,0.61,-9.318999999999999,0.135,0.495,4.13e-06,0.415,127.90100000000001,0
535,Where the Rivers Flow - Radio Mix,Sons Of Maria,spotify:track:179wSw6TBxrM4aiEJ6SIyH,0.701,0.8440000000000001,-4.485,0.0766,0.0312,5.3700000000000004e-05,0.24,120.00399999999999,5
536,Stuck On You,On June,spotify:track:6HdURgU5JoS6IbMrTCC3QM,0.7290000000000001,0.515,-6.002999999999999,0.0351,0.494,1.66e-05,0.39799999999999996,120.994,0
537,Miracle In The Middle Of My Heart,BCX,spotify:track:144AU6jf1J8fl0wLaQw4e8,0.757,0.627,-6.441,0.0284,0.42,0.000868,0.212,115.01700000000001,5
538,Somebody Else,Zonoma,spotify:track:6UW9S0skvWZ9PUvLti7aZP,0.6940000000000001,0.518,-7.289,0.0345,0.00913,0.00016,0.184,106.964,5
539,Leave The World Behind (feat. Kaleena Zanders),SNBRN,spotify:track:5Yn4h3upuCzhwfOffa0Liy,0.6940000000000001,0.889,-4.481,0.0355,0.0245,0.242,0.0955,121.932,5
540,Talking About Love,King Arthur,spotify:track:1RU2RF3jSyU8o3QbOpTroT,0.682,0.935,-1.5030000000000001,0.0336,0.00978,0.0106,0.41200000000000003,125.995,5
541,So Good to Me - Radio Edit,Chris Malinchak,spotify:track:3fDrZa4ksxA5lgi0utGu6k,0.72,0.469,-12.633,0.0394,0.14800000000000002,0.0807,0.369,121.02799999999999,5
542,Easy Love,Sigala,spotify:track:6Sr8JkH7XRVk7Dnar9Xsr5,0.6809999999999999,0.948,-4.198,0.0607,0.188,0.00103,0.675,123.98899999999999,8
543,Midnight Sky,Sol Calor,spotify:track:7JuGl6cntiqvXVgXJFSggk,0.669,0.623,-7.057,0.0413,0.10099999999999999,0.0481,0.184,90.76100000000001,5
544,Safe and Sound - Radio Edit,NLSN,spotify:track:340sV0G2e1h5jWsMyDRmc9,0.7929999999999999,0.722,-3.928,0.0383,0.000601,0.0028699999999999997,0.644,120.012,8
545,Riverbank,Bolier,spotify:track:4eG4eNTXUDHpaWsbsTTBcU,0.616,0.794,-4.761,0.11599999999999999,0.184,8.56e-06,0.40700000000000003,119.96799999999999,5
546,False Alarm,Matoma,spotify:track:5jJnlACnwFvyqNXmUZu8Nd,0.643,0.732,-6.7620000000000005,0.0294,0.006809999999999999,4.57e-05,0.18100000000000002,102.979,5
547,Call Me Over,Dusky Grey,spotify:track:65AuuSC0parBq0hAFyA22v,0.8340000000000001,0.65,-4.705,0.0381,0.16899999999999998,0.0,0.509,105.023,5
548,Fast Car,Jonas Blue,spotify:track:2mCF8L0brIs88eH6Kf2h9p,0.644,0.57,-6.994,0.052000000000000005,0.484,0.0,0.527,113.945,0
549,Wishing Well,Sam Feldt,spotify:track:3a4UuAErF1VMAkwqzkc1tj,0.698,0.653,-6.365,0.0521,0.424,0.0,0.381,100.976,5
550,Run For Your Life (feat. Natalola),Mako,spotify:track:70CtpUY5b3kJHXxKtMO9Hk,0.61,0.726,-6.832999999999999,0.0483,0.0225,0.0,0.644,104.087,4
551,"Sunday - KlangTherapeuten ""Looking For Summer"" Remix",Max Manie,spotify:track:3YcAw0Uc94mb7n8DHMFWRa,0.655,0.54,-10.11,0.031,0.0178,0.86,0.375,124.041,11
552,Blessings,Tropixx,spotify:track:0OlDAMgVVj8MlOY9CVgipd,0.654,0.605,-8.205,0.0293,0.0563,0.0,0.364,109.978,5
553,Wild Church,Kungs,spotify:track:58aeU18mt15CnihIz4MsS3,0.507,0.738,-6.982,0.0559,0.0805,0.547,0.355,123.935,11
554,I Got U,Duke Dumont,spotify:track:4r8hRPbidDIoDPphxi78aY,0.653,0.7559999999999999,-7.794,0.0366,0.00364,0.006509999999999999,0.42,120.82,5
555,Open Your Eyes,Sam Feldt,spotify:track:3PmAQYQZ1ow47InQjZjIH4,0.6629999999999999,0.855,-6.017,0.0399,0.00225,8.209999999999999e-05,0.36700000000000005,121.958,5
556,Rivers (feat. Nico & Vinz),Thomas Jack,spotify:track:0MN3acIATtEXWJxy3UKoy4,0.629,0.695,-6.337999999999999,0.039,0.444,0.0,0.451,122.015,5
557,Sexual Healing - Kygo Remix,Marvin Gaye,spotify:track:7s1upm7yr7ZjrzXMwHawtG,0.6890000000000001,0.68,-7.196000000000001,0.0427,0.321,0.0211,0.6459999999999999,100.98700000000001,0
558,Pumped Up,Klingande,spotify:track:6lFbdi743kgerMZDjSqbuA,0.732,0.7340000000000001,-6.422999999999999,0.107,0.00719,1.49e-05,0.643,123.03299999999999,8
559,I Bet My Life - Alex Adair Remix,Imagine Dragons,spotify:track:3bnEhDlFFXeCyyYhbRszW7,0.578,0.506,-9.113999999999999,0.28,0.0898,0.00022200000000000003,0.575,116.95100000000001,6
560,When It's Over,Sebastien,spotify:track:7yebvgOaP8l5WkYh59dPxh,0.657,0.882,-5.202000000000001,0.126,0.152,0.0,0.28600000000000003,119.917,5
561,Something Good - Radio Edit,MOUNT & Nicolas Haelg,spotify:track:0BGsenauCQGUHZrJ6SDXEm,0.813,0.809,-6.761,0.0706,0.0559,0.163,0.47100000000000003,122.994,5
562,Carry Me (feat. Julia Michaels),Kygo,spotify:track:3FZEv9JddkjHNFiMVxJYpS,0.621,0.551,-7.89,0.0474,0.486,0.0,0.222,105.052,5
563,Hold on to Me (feat. Cara Hughes),Bortharm,spotify:track:1h5B6MEYfJirpquD2wXXWo,0.591,0.758,-6.984,0.0558,0.0145,0.0233,0.179,123.97,5
564,Karibu - Radio Edit,Lago,spotify:track:5ZTPowK41qACT8FFuorbXW,0.81,0.7809999999999999,-8.26,0.0502,0.00128,0.524,0.865,116.012,8
565,One Day (Vandaag) - Radio Edit,Bakermat,spotify:track:0GSU6yLOJqO10ziQuBLWOE,0.6559999999999999,0.594,-6.042999999999999,0.0307,0.716,0.0802,0.57,127.992,0
566,Fade Away,Sam Feldt,spotify:track:1oLxfF4dmgoKunk9LCQBCX,0.69,0.713,-3.2460000000000004,0.0329,0.0314,0.0,0.38799999999999996,105.06,5
567,Cold Ain't For Me,Oceans,spotify:track:43NJeiVFjYj6RtvAKWLnDo,0.643,0.84,-3.423,0.031,0.00212,0.0,0.35600000000000004,105.027,5
568,Boy Oh Boy,Möwe,spotify:track:59bem62WIxhdH76jIWEm6S,0.6970000000000001,0.785,-4.78,0.0276,0.0070599999999999994,2.59e-05,0.414,122.02799999999999,5
569,Music In You,Sebastien,spotify:track:0t3uSTVVYGVYVKJUlOMqfk,0.7390000000000001,0.659,-5.361000000000001,0.0967,0.242,2.21e-06,0.44,117.016,5
570,Wave Goodbye (feat. Jeffrey Jey),Robin Schulz,spotify:track:115ndcAyWMabNy7WgUzP7t,0.715,0.6679999999999999,-5.083,0.0507,0.0357,0.0,0.377,124.014,5
571,Fires (feat. Scarlett Quinn),Tim Arisu,spotify:track:5wNJY5ICnoVqzrfZMfHx7l,0.75,0.532,-5.935,0.0486,0.0021899999999999997,2.68e-05,0.294,125.00200000000001,5
572,Land Down Under,Chachi,spotify:track:5bAkVFcWMvxfgJ03rBn38s,0.6990000000000001,0.8029999999999999,-3.995,0.0327,0.102,6.54e-05,0.244,119.927,5
573,If You're Hearing This,Hook N Sling,spotify:track:1aJ1xeEQ1ivKGnTeuYolJk,0.71,0.563,-8.004,0.0403,0.125,0.0,0.42700000000000005,101.931,5
574,Living (feat. Alex Clare),Bakermat,spotify:track:63Qco1ncI5U4qEUnxL1DsH,0.762,0.821,-4.087,0.0453,0.0605,0.0034100000000000003,0.858,121.98,8
575,High And Low,Sam Feldt,spotify:track:4PwXNVqkIM8KBuEgYFqDiE,0.6609999999999999,0.6809999999999999,-5.375,0.0329,0.39399999999999996,6.47e-06,0.386,114.978,5
576,It's Alright,MIKVH,spotify:track:3v6BeiV6taiWj17N51lJ3M,0.7440000000000001,0.9079999999999999,-3.09,0.0568,0.10400000000000001,2.33e-06,0.46799999999999997,123.008,5
577,Savannah,Diviners,spotify:track:61lDxV5pn2UdumqMpdxCKG,0.652,0.7759999999999999,-3.133,0.0392,0.373,1.32e-06,0.387,108.07700000000001,5
578,Sunset,A-SHO,spotify:track:5jUgFofZJCuSQjcYao0VMv,0.619,0.612,-7.696000000000001,0.0313,0.41100000000000003,0.0,0.7070000000000001,118.069,0
579,Rise Up,Thomas Jack,spotify:track:2sTe3y5xjQvVb9tDTVaI35,0.721,0.925,-3.5389999999999997,0.0455,0.0652,0.00015800000000000002,0.355,114.03200000000001,5
580,Leave Me Alone,Sam Feldt,spotify:track:1YEgACMNGb2EGptiOodOyZ,0.591,0.67,-5.105,0.0443,0.233,0.0,0.547,104.81,4
581,Cut Your Teeth - Kygo Remix,Kyla La Grange,spotify:track:1y4Kln6VEjQMpmHW7j9GeY,0.674,0.6779999999999999,-8.452,0.0406,0.59,0.222,0.465,99.985,0
582,We Come - Radio Edit,Boehm,spotify:track:4yRuPrh3Zf5NFJjbC6NvKp,0.655,0.863,-5.149,0.0264,0.0449,0.00041799999999999997,0.27399999999999997,122.05,5
583,Anymore - Lost Frequencies Remix,Alphabet,spotify:track:5Ov2PopcdXsm6ja4j9AsHE,0.7979999999999999,0.513,-6.325,0.0386,0.0114,0.107,0.248,123.98200000000001,5
584,Starboy - Kygo Remix,The Weeknd,spotify:track:6LJFgCd9wU2VptHEwz2Wl3,0.752,0.606,-7.162000000000001,0.0912,0.207,1.26e-06,0.409,93.024,5
585,Ain't Nobody (Loves Me Better),Felix Jaehn,spotify:track:3vbqb78xzvD3CJl7ZeW83c,0.777,0.564,-6.9670000000000005,0.0315,0.6829999999999999,0.000252,0.465,117.973,0
586,Feels Like Home,Sam Feldt,spotify:track:4cdd0akl3V1b4HdaVpSvaB,0.696,0.851,-4.396,0.0333,0.131,7.780000000000001e-05,0.455,118.007,5
587,Immortal,Tropixx,spotify:track:0V6kdRf7G8ajCIdjiLx8vI,0.652,0.6990000000000001,-7.812,0.0277,0.0178,0.000618,0.5329999999999999,117.977,5
588,Ghost - Lost Kings Remix,Halsey,spotify:track:4ehErMHPM40f92dks3vb2p,0.705,0.862,-4.861000000000001,0.0332,0.406,0.0031100000000000004,0.455,105.01899999999999,5
589,Lovers Friends,Möwe,spotify:track:23GHwhFGMi2mNTD4CtyOCA,0.752,0.725,-6.4910000000000005,0.0825,0.551,3.4399999999999996e-05,0.861,100.01700000000001,0
590,Losing U (feat. Daylight),Klingande,spotify:track:1rsn0LRt5IpGp9a2KC5bTW,0.617,0.675,-6.695,0.0316,0.0938,9.449999999999999e-05,0.22399999999999998,122.009,5
591,I Wonder,The Him,spotify:track:7s9ilGkrbrUU2SV5gLZmkv,0.767,0.51,-8.72,0.064,0.0631,0.000566,0.389,100.02,5
592,Old Man,Andrelli,spotify:track:5ZXmCqIzh9cRaMMfdtHuyZ,0.603,0.67,-7.843999999999999,0.0369,0.401,8.15e-06,0.385,95.01899999999999,5
593,Bring Me Down (ft. Bright Sparks),TV Noise,spotify:track:1VPRoO8oPV8dIW47js8EA0,0.67,0.7659999999999999,-4.88,0.24100000000000002,0.39,7.269999999999999e-05,0.39799999999999996,107.87299999999999,14
