,songs,artists,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,clusters
31,Morning in Tbilisi,Screen Jazzmaster,spotify:track:0eUyvXi1OHuJxikJau7tiw,0.757,0.49,-8.783,0.0469,0.7759999999999999,0.8590000000000001,0.444,90.01,13
32,rue des rosiers,l'Outlander,spotify:track:4u6HB2WGajSD5tqgJU1ibB,0.585,0.324,-13.138,0.0371,0.39799999999999996,0.718,0.2,174.092,2
33,It's All Different Now,vhsgus,spotify:track:40WiGkZKPR9kFpMIC0qSiQ,0.63,0.713,-8.442,0.0334,0.722,0.6990000000000001,0.721,80.018,0
34,Pointless,Enluv,spotify:track:3p7XtEhSqQuRaZtTtsxsNI,0.708,0.28,-10.864,0.0671,0.172,0.9209999999999999,0.312,69.98899999999999,13
35,Chilled Moments,Downtown Owl,spotify:track:0ZrXecbl1huEmQYAVBmTFs,0.6759999999999999,0.5670000000000001,-7.2989999999999995,0.0481,0.0161,0.475,0.215,84.993,5
36,Moonlight Vibes,Zmeyev,spotify:track:5vmCNAuHKG8dxCUcUmmUvC,0.664,0.295,-17.698,0.126,0.20600000000000002,0.8959999999999999,0.382,79.973,13
37,Finding You,softy,spotify:track:5T2ogJEsiQczEzqVJ0TQjN,0.71,0.39,-8.869,0.0408,0.9359999999999999,0.843,0.0702,78.01100000000001,13
38,Childhood Dreams,Kayou.,spotify:track:1fk3DPjrgmmeLX7urEDN1w,0.765,0.5670000000000001,-7.56,0.0475,0.24100000000000002,0.9329999999999999,0.441,151.942,11
39,You Can Do It,Yestalgia,spotify:track:4JikzgX4HfLkurA2txYPdU,0.72,0.366,-10.520999999999999,0.0537,0.12,0.866,0.358,90.993,13
40,Daylight,Zmeyev,spotify:track:0eqh4wVjHN1pMuxh8me4kN,0.514,0.573,-6.096,0.0663,0.28300000000000003,0.0307,0.273,79.766,1
41,Lost in Thoughts,Chill Beats Music,spotify:track:3tbjXCP1GBguGJgD6gWYf2,0.669,0.478,-12.168,0.0397,0.595,0.889,0.252,136.053,2
42,Beach Time,Hoffy Beats,spotify:track:09Ynz9gdxbHguW3qVwC6pa,0.688,0.446,-9.181000000000001,0.22899999999999998,0.687,0.733,0.0742,84.73,13
43,Violeta,TABAL,spotify:track:3ckuLQ4V3sm1cBP58Qh45g,0.634,0.29600000000000004,-12.182,0.0902,0.889,0.9129999999999999,0.20800000000000002,73.029,13
44,When You Listen in a Seashell,a boy with a balloon,spotify:track:36yvqxZxi648NAsL4C6ThM,0.877,0.37200000000000005,-13.491,0.0458,0.239,0.8390000000000001,0.529,105.01799999999999,13
45,Sleep Well,lower fidelity,spotify:track:6KocN4RZWrRE3IxceU9j5q,0.478,0.276,-11.530999999999999,0.281,0.758,0.005520000000000001,0.196,183.399,6
46,Rituals,Leave,spotify:track:7F9hBhvAremTysz2qepPUv,0.81,0.281,-10.974,0.0895,0.565,0.7509999999999999,0.428,83.04299999999999,13
47,Always Blue,.Sinh,spotify:track:28kiHT6zsQr4XBTlh6ZM4k,0.629,0.295,-16.77,0.0466,0.664,0.9229999999999999,0.331,129.939,2
48,Heart-Shaped Pebbles,Loafy Building,spotify:track:5qJZI8bLB2OftRkPYkgBE2,0.622,0.28300000000000003,-16.352999999999998,0.0768,0.884,0.845,0.235,78.016,13
49,Anxiety,Zmeyev,spotify:track:4atvCeHtLVtnDQLXOZ0kMx,0.693,0.32899999999999996,-11.919,0.046,0.135,0.87,0.32899999999999996,89.98,13
50,Slide,Goson,spotify:track:3o4E6Xq9dUTT4imswVdIXh,0.703,0.413,-9.693999999999999,0.040999999999999995,0.484,0.9,0.39799999999999996,150.025,2
51,Rainy Friday,RejSende,spotify:track:0YDPNHKTSC0agSj7BJRkLA,0.7440000000000001,0.6970000000000001,-5.667999999999999,0.0485,0.726,0.8340000000000001,0.601,88.01899999999999,11
52,Memory Shards,Chill Beats Music,spotify:track:25MlK7s6TRAvI3JBHrwvyL,0.63,0.365,-11.765,0.0485,0.614,0.846,0.11599999999999999,153.507,2
53,Soteira,Sátyr,spotify:track:2wC81TCaxUTuZMvUtado8e,0.6679999999999999,0.33399999999999996,-11.202,0.0462,0.71,0.883,0.337,79.979,13
54,Okay,Downtown Owl,spotify:track:4WMXPm0WaIw49o8fUO3cKD,0.696,0.48700000000000004,-11.392000000000001,0.0362,0.134,0.772,0.387,85.005,13
55,Another Time,sftspkn,spotify:track:7KLeEGuKXzWPyAH7xKlRqL,0.614,0.441,-12.363,0.0429,0.755,0.677,0.26,80.018,13
56,Jungle,Rnla,spotify:track:303XZmwNkMfh6XfWbyT9zD,0.619,0.495,-12.242,0.0441,0.755,0.914,0.0653,163.78799999999998,2
57,Humble Eyes,Novvel,spotify:track:6rUo4x4NH8V7KnPXMdfkZj,0.8390000000000001,0.33399999999999996,-8.754,0.342,0.515,0.846,0.342,169.938,6
58,Galactic Strings,LostiFi,spotify:track:30lm0PNbPCsWJXdYBqLL5R,0.774,0.44299999999999995,-10.423,0.158,0.452,0.905,0.35100000000000003,160.028,2
59,One for Mihas,Chill Beats Music,spotify:track:57pNfaL22ySEQJWcrYHux7,0.602,0.42700000000000005,-16.154,0.0381,0.23199999999999998,0.845,0.5479999999999999,93.00399999999999,13
60,Alone,Linearwave,spotify:track:2Q4ANCinWR99oti6sftyVc,0.698,0.188,-18.003,0.218,0.88,0.956,0.0393,172.015,2
61,Tyul,l'Outlander,spotify:track:602IcSITJhnIF1UYueykxE,0.789,0.217,-14.084000000000001,0.0516,0.262,0.895,0.375,87.99600000000001,13
62,Coca Leaf,Rudy Raw,spotify:track:13QGO1Y1auRglUajXeYeOP,0.6920000000000001,0.502,-8.642000000000001,0.29600000000000004,0.773,0.00074,0.602,86.711,14
63,Just a Dream,softy,spotify:track:6HoPbLOXLboCJmTeZJSxbO,0.593,0.35600000000000004,-10.47,0.0565,0.935,0.732,0.11,143.934,2
64,Magnolia,Teo,spotify:track:5ntvgPtBosx0PNSgZqc1rg,0.705,0.504,-8.849,0.0516,0.682,0.889,0.33299999999999996,80.98899999999999,13
65,Free Wandering,Zmeyev,spotify:track:0uTA2VE1fm6ZGQyqEWTm3v,0.69,0.396,-9.299,0.0692,0.86,0.889,0.496,81.008,13
66,Trip Back Home,Chill Beats Music,spotify:track:3iFofgOMwY9qA33JMLT7W5,0.642,0.21600000000000003,-19.465,0.182,0.603,0.249,0.19399999999999998,184.05900000000003,2
67,Invisible,Glimlip,spotify:track:09FaefBumudFplu9w2Hl7w,0.767,0.222,-11.78,0.22,0.9059999999999999,0.905,0.115,164.15599999999998,2
68,Simplicity,Nogymx,spotify:track:648lSR87i2zqGDiX5H00i6,0.732,0.294,-11.152999999999999,0.0376,0.818,0.919,0.278,85.05799999999999,13
69,Turning Point,Project AER,spotify:track:5XtvhUO8SfybqHtdOb4Yo3,0.682,0.11800000000000001,-15.888,0.10300000000000001,0.745,0.871,0.49700000000000005,76.012,13
70,I Never Wanted to Leave,Last Memories,spotify:track:3JhTGOEP36gCdtpMgzaWGO,0.532,0.263,-19.144000000000002,0.0361,0.982,0.821,0.264,69.979,13
71,Dusk,Hoffy Beats,spotify:track:76P6IAfqgcPxYLhaS980si,0.736,0.341,-13.469000000000001,0.0829,0.6729999999999999,0.765,0.195,87.98899999999999,13
72,Solsikker & Tulpen,Hoffy Beats,spotify:track:5jCR7Mp4ocsWHMBYlupiH1,0.769,0.336,-9.427,0.0423,0.294,0.897,0.345,79.99,13
73,Moonlit Nights,Board-Man,spotify:track:4hQmuBZYpWQTLiiIpkJCUd,0.772,0.753,-7.54,0.34,0.0648,0.109,0.963,73.024,14
74,Thoughts of Clouds,SicknessMP,spotify:track:0HvytyhVaAnNA3rgVPZN1i,0.613,0.35,-9.187000000000001,0.0362,0.245,0.56,0.6459999999999999,170.067,10
75,Sidewalks,softy,spotify:track:3L0Jy0nnsrrqufsta4FofW,0.284,0.273,-12.389000000000001,0.0402,0.993,0.9490000000000001,0.0829,185.726,2
76,Back To Home,Zmeyev,spotify:track:2etLkI00MIuvLIyuh5FbTD,0.8959999999999999,0.406,-9.222000000000001,0.192,0.457,0.708,0.665,91.934,14
77,Mango Tree,Worldtraveller,spotify:track:4Jejaq34IYj4cTMOM7ADMw,0.6409999999999999,0.107,-22.34,0.0423,0.619,0.856,0.0392,136.00799999999998,2
78,Leaves,Cosmonkey,spotify:track:2hvrjpzkMmICannbkh0dTn,0.8140000000000001,0.525,-11.822000000000001,0.11,0.41,0.887,0.523,86.994,13
79,Blossom,Zmeyev,spotify:track:1VbeCizmvewLknI2ZiIliF,0.6679999999999999,0.418,-10.383,0.161,0.782,0.8240000000000001,0.331,84.03,13
80,Infinite,Purrple Cat,spotify:track:2ml1buRZv8UvqTNb8JWi85,0.45899999999999996,0.207,-14.129000000000001,0.0306,0.7240000000000001,0.912,0.0715,180.301,2
81,Nuz An Tara,SicknessMP,spotify:track:7rwsFWNQmvPk7GovBbSE9U,0.7070000000000001,0.52,-10.959000000000001,0.31,0.24100000000000002,0.44799999999999995,0.42700000000000005,79.995,14
82,Rose Garden,Chill Beats Music,spotify:track:7cNdpzgouP88cs4sNNAqiA,0.684,0.314,-14.227,0.0453,0.493,0.7509999999999999,0.3,74.993,13
83,Seaside Memories,namzzo,spotify:track:1utbwttyRSdLr5tlUY1t40,0.873,0.126,-14.635,0.0688,0.537,0.573,0.0707,105.042,13
84,Waterfall,Goson,spotify:track:3qS7Tgzj2C20UFfbPayzJc,0.45399999999999996,0.285,-8.311,0.0512,0.615,0.895,0.336,143.67600000000002,2
85,With You,Glimlip,spotify:track:6aYbVwLAaRsDNKT5jUUAWO,0.76,0.32799999999999996,-11.584000000000001,0.0723,0.7,0.8740000000000001,0.195,79.994,13
86,Mindfulness,Saï T,spotify:track:2WYiVWTXflf49CyF5Vgn93,0.47200000000000003,0.475,-10.148,0.0463,0.435,0.617,0.61,173.699,10
87,Floating,Chill Beats Music,spotify:track:5Z8WFdnUTsvPBE73EBuNpR,0.657,0.41,-9.661,0.0266,0.866,0.7859999999999999,0.156,94.04700000000001,13
88,Almost Spring,Bequem,spotify:track:3r83YJyUvkbnIsR9KT45x0,0.496,0.24600000000000002,-9.666,0.196,0.218,0.914,0.115,84.90299999999999,13
89,Sadness,Chill Beats Music,spotify:track:568r84al9Dvsk1OeMA6eed,0.628,0.48700000000000004,-8.965,0.222,0.0688,0.698,0.37,83.955,11
90,Reminisce,Glimlip,spotify:track:4aD3EK2GsDCBvvbcBOcu32,0.425,0.301,-8.88,0.0516,0.429,0.892,0.20199999999999999,83.925,13
91,Koyo,SamuW,spotify:track:4gb9M8C5UMG1mlYotiilNA,0.805,0.263,-16.282,0.0692,0.504,0.7859999999999999,0.303,110.005,13
92,Eternal Sunshine,Simber,spotify:track:5AJ7rz4GruAuk3I43sAgxa,0.682,0.376,-11.642000000000001,0.0488,0.652,0.797,0.132,119.979,13
