,songs,artists,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
40,Daylight,Zmeyev,spotify:track:0eqh4wVjHN1pMuxh8me4kN,0.514,0.573,-6.096,0.0663,0.283,0.0307,0.273,79.766
41,Lost in Thoughts,Chill Beats Music,spotify:track:3tbjXCP1GBguGJgD6gWYf2,0.669,0.478,-12.168,0.0397,0.595,0.889,0.252,136.053
42,Beach Time,Hoffy Beats,spotify:track:09Ynz9gdxbHguW3qVwC6pa,0.688,0.446,-9.181,0.229,0.687,0.733,0.0742,84.73
43,Violeta,TABAL,spotify:track:3ckuLQ4V3sm1cBP58Qh45g,0.634,0.296,-12.182,0.0902,0.889,0.913,0.208,73.029
44,When You Listen in a Seashell,a boy with a balloon,spotify:track:36yvqxZxi648NAsL4C6ThM,0.877,0.372,-13.491,0.0458,0.239,0.839,0.529,105.018
45,Sleep Well,lower fidelity,spotify:track:6KocN4RZWrRE3IxceU9j5q,0.478,0.276,-11.531,0.281,0.758,0.00552,0.196,183.399
46,Rituals,Leave,spotify:track:7F9hBhvAremTysz2qepPUv,0.81,0.281,-10.974,0.0895,0.565,0.751,0.428,83.043
47,Always Blue,.Sinh,spotify:track:28kiHT6zsQr4XBTlh6ZM4k,0.629,0.295,-16.77,0.0466,0.664,0.923,0.331,129.939
48,Heart-Shaped Pebbles,Loafy Building,spotify:track:5qJZI8bLB2OftRkPYkgBE2,0.622,0.283,-16.353,0.0768,0.884,0.845,0.235,78.016
49,Anxiety,Zmeyev,spotify:track:4atvCeHtLVtnDQLXOZ0kMx,0.693,0.329,-11.919,0.046,0.135,0.87,0.329,89.98
50,Slide,Goson,spotify:track:3o4E6Xq9dUTT4imswVdIXh,0.703,0.413,-9.694,0.041,0.484,0.9,0.398,150.025
51,Rainy Friday,RejSende,spotify:track:0YDPNHKTSC0agSj7BJRkLA,0.744,0.697,-5.668,0.0485,0.726,0.834,0.601,88.019
52,Memory Shards,Chill Beats Music,spotify:track:25MlK7s6TRAvI3JBHrwvyL,0.63,0.365,-11.765,0.0485,0.614,0.846,0.116,153.507
53,Soteira,Sátyr,spotify:track:2wC81TCaxUTuZMvUtado8e,0.668,0.334,-11.202,0.0462,0.71,0.883,0.337,79.979
54,Okay,Downtown Owl,spotify:track:4WMXPm0WaIw49o8fUO3cKD,0.696,0.487,-11.392,0.0362,0.134,0.772,0.387,85.005
55,Another Time,sftspkn,spotify:track:7KLeEGuKXzWPyAH7xKlRqL,0.614,0.441,-12.363,0.0429,0.755,0.677,0.26,80.018
56,Jungle,Rnla,spotify:track:303XZmwNkMfh6XfWbyT9zD,0.619,0.495,-12.242,0.0441,0.755,0.914,0.0653,163.788
57,Humble Eyes,Novvel,spotify:track:6rUo4x4NH8V7KnPXMdfkZj,0.839,0.334,-8.754,0.342,0.515,0.846,0.342,169.938
58,Galactic Strings,LostiFi,spotify:track:30lm0PNbPCsWJXdYBqLL5R,0.774,0.443,-10.423,0.158,0.452,0.905,0.351,160.028
59,One for Mihas,Chill Beats Music,spotify:track:57pNfaL22ySEQJWcrYHux7,0.602,0.427,-16.154,0.0381,0.232,0.845,0.548,93.004
60,Alone,Linearwave,spotify:track:2Q4ANCinWR99oti6sftyVc,0.698,0.188,-18.003,0.218,0.88,0.956,0.0393,172.015
61,Tyul,l'Outlander,spotify:track:602IcSITJhnIF1UYueykxE,0.789,0.217,-14.084,0.0516,0.262,0.895,0.375,87.996
62,Coca Leaf,Rudy Raw,spotify:track:13QGO1Y1auRglUajXeYeOP,0.692,0.502,-8.642,0.296,0.773,0.00074,0.602,86.711
63,Just a Dream,softy,spotify:track:6HoPbLOXLboCJmTeZJSxbO,0.593,0.356,-10.47,0.0565,0.935,0.732,0.11,143.934
64,Magnolia,Teo,spotify:track:5ntvgPtBosx0PNSgZqc1rg,0.705,0.504,-8.849,0.0516,0.682,0.889,0.333,80.989
65,Free Wandering,Zmeyev,spotify:track:0uTA2VE1fm6ZGQyqEWTm3v,0.69,0.396,-9.299,0.0692,0.86,0.889,0.496,81.008
66,Trip Back Home,Chill Beats Music,spotify:track:3iFofgOMwY9qA33JMLT7W5,0.642,0.216,-19.465,0.182,0.603,0.249,0.194,184.059
67,Invisible,Glimlip,spotify:track:09FaefBumudFplu9w2Hl7w,0.767,0.222,-11.78,0.22,0.906,0.905,0.115,164.156
68,Simplicity,Nogymx,spotify:track:648lSR87i2zqGDiX5H00i6,0.732,0.294,-11.153,0.0376,0.818,0.919,0.278,85.058
69,Turning Point,Project AER,spotify:track:5XtvhUO8SfybqHtdOb4Yo3,0.682,0.118,-15.888,0.103,0.745,0.871,0.497,76.012
71,I Never Wanted to Leave,Last Memories,spotify:track:3JhTGOEP36gCdtpMgzaWGO,0.532,0.263,-19.144,0.0361,0.982,0.821,0.264,69.979
72,Dusk,Hoffy Beats,spotify:track:76P6IAfqgcPxYLhaS980si,0.736,0.341,-13.469,0.0829,0.673,0.765,0.195,87.989
73,Solsikker & Tulpen,Hoffy Beats,spotify:track:5jCR7Mp4ocsWHMBYlupiH1,0.769,0.336,-9.427,0.0423,0.294,0.897,0.345,79.99
74,Moonlit Nights,Board-Man,spotify:track:4hQmuBZYpWQTLiiIpkJCUd,0.772,0.753,-7.54,0.34,0.0648,0.109,0.963,73.024
75,Thoughts of Clouds,SicknessMP,spotify:track:0HvytyhVaAnNA3rgVPZN1i,0.613,0.35,-9.187,0.0362,0.245,0.56,0.646,170.067
76,Sidewalks,softy,spotify:track:3L0Jy0nnsrrqufsta4FofW,0.284,0.273,-12.389,0.0402,0.993,0.949,0.0829,185.726
77,Back To Home,Zmeyev,spotify:track:2etLkI00MIuvLIyuh5FbTD,0.896,0.406,-9.222,0.192,0.457,0.708,0.665,91.934
78,Mango Tree,Worldtraveller,spotify:track:4Jejaq34IYj4cTMOM7ADMw,0.641,0.107,-22.34,0.0423,0.619,0.856,0.0392,136.008
79,Leaves,Cosmonkey,spotify:track:2hvrjpzkMmICannbkh0dTn,0.814,0.525,-11.822,0.11,0.41,0.887,0.523,86.994
80,Blossom,Zmeyev,spotify:track:1VbeCizmvewLknI2ZiIliF,0.668,0.418,-10.383,0.161,0.782,0.824,0.331,84.03
81,Infinite,Purrple Cat,spotify:track:2ml1buRZv8UvqTNb8JWi85,0.459,0.207,-14.129,0.0306,0.724,0.912,0.0715,180.301
82,Nuz An Tara,SicknessMP,spotify:track:7rwsFWNQmvPk7GovBbSE9U,0.707,0.52,-10.959,0.31,0.241,0.448,0.427,79.995
83,Rose Garden,Chill Beats Music,spotify:track:7cNdpzgouP88cs4sNNAqiA,0.684,0.314,-14.227,0.0453,0.493,0.751,0.3,74.993
84,Seaside Memories,namzzo,spotify:track:1utbwttyRSdLr5tlUY1t40,0.873,0.126,-14.635,0.0688,0.537,0.573,0.0707,105.042
85,Waterfall,Goson,spotify:track:3qS7Tgzj2C20UFfbPayzJc,0.454,0.285,-8.311,0.0512,0.615,0.895,0.336,143.676
86,With You,Glimlip,spotify:track:6aYbVwLAaRsDNKT5jUUAWO,0.76,0.328,-11.584,0.0723,0.7,0.874,0.195,79.994
88,Mindfulness,Saï T,spotify:track:2WYiVWTXflf49CyF5Vgn93,0.472,0.475,-10.148,0.0463,0.435,0.617,0.61,173.699
89,Floating,Chill Beats Music,spotify:track:5Z8WFdnUTsvPBE73EBuNpR,0.657,0.41,-9.661,0.0266,0.866,0.786,0.156,94.047
90,Almost Spring,Bequem,spotify:track:3r83YJyUvkbnIsR9KT45x0,0.496,0.246,-9.666,0.196,0.218,0.914,0.115,84.903
91,Sadness,Chill Beats Music,spotify:track:568r84al9Dvsk1OeMA6eed,0.628,0.487,-8.965,0.222,0.0688,0.698,0.37,83.955
92,Reminisce,Glimlip,spotify:track:4aD3EK2GsDCBvvbcBOcu32,0.425,0.301,-8.88,0.0516,0.429,0.892,0.202,83.925
93,Koyo,SamuW,spotify:track:4gb9M8C5UMG1mlYotiilNA,0.805,0.263,-16.282,0.0692,0.504,0.786,0.303,110.005
94,Eternal Sunshine,Simber,spotify:track:5AJ7rz4GruAuk3I43sAgxa,0.682,0.376,-11.642,0.0488,0.652,0.797,0.132,119.979
95,On the Road,Tibeauthetraveler,spotify:track:3atGqPz2Zwfmnm1e3NiIGU,0.755,0.259,-12.205,0.043,0.73,0.91,0.128,119.956
96,Time Away,Slowheal,spotify:track:3XtzMSNxW0vBJaCv9pSLQa,0.762,0.342,-10.588,0.0499,0.66,0.839,0.518,86.993
97,Over You,Byjoelmichael,spotify:track:19nHtOt3U7llh1s4XBpZ7g,0.623,0.582,-10.936,0.0368,0.189,0.927,0.0709,84.996
98,Koffie & Sukker,Hoffy Beats,spotify:track:7xpWUZ7pHcuAHUQqHeJKEX,0.731,0.2,-13.426,0.0529,0.804,0.908,0.0966,80.003
99,Rainy Afternoon,Chill Beats Music,spotify:track:3nZKjSxHPhOah5tZqTsWh6,0.717,0.23,-11.22,0.0312,0.942,0.843,0.54,74.996
100,Memoir,damaa.beats,spotify:track:1LOLpKd5s45eg1kymYhVMK,0.813,0.183,-12.539,0.089,0.865,0.53,0.27,114.008
