,songs,artists,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
457,Heatwave (feat. Akon) - HUGEL Remix,Robin Schulz,spotify:track:1Rev0uexcpMr1ERkucbXnT,0.8,0.764,-4.712,0.0368,0.0105,0.000468,0.562,122.982
458,Déjà Vu,Sam Feldt,spotify:track:2vajU8g5DJCuthr5pb7RVT,0.748,0.475,-11.256,0.0279,0.13,6.09e-05,0.408,119.994
459,Himalaya,LVNDSCAPE,spotify:track:310yA0OSNvWriki14qBLeY,0.429,0.774,-8.846,0.0493,0.032,0.709,0.0671,119.975
460,Whatever You Like - Radio Edit,Dasco,spotify:track:200UDgTJl6xvSejJzMP6Ne,0.674,0.805,-4.867,0.0401,0.0401,4.58e-05,0.537,109.998
461,My Love,MVCA,spotify:track:398CKeawsPHfonnxsimsPe,0.658,0.647,-7.73,0.0408,0.078,0.328,0.463,120.026
462,Skyline,Möwe,spotify:track:0HkwDCJIbWijtfKg63gQBJ,0.629,0.87,-3.352,0.0304,0.0325,1.71e-06,0.628,117.96
463,Make You Mine,REZarin,spotify:track:7DQpYJwxEIS8qROVpZ2tmf,0.761,0.745,-6.032,0.0423,0.14,0.0181,0.489,122.019
464,Show Me Love - EDX Remix / Radio Edit,Sam Feldt,spotify:track:4bAmAVdks2Y84VNVVLXFwN,0.836,0.665,-5.779,0.0745,0.308,0.000925,0.677,120.997
465,Sun Don't Shine,Klangkarussell,spotify:track:6n0OQD5aGspHuwFPJ2ePGC,0.456,0.563,-8.627,0.0644,0.191,0.00109,0.213,119.94
466,Love That We Need,Silience,spotify:track:58U52B6rDjT30RIquT51dE,0.579,0.776,-6.594,0.0478,0.0023,3.36e-06,0.565,123.95
467,We Turn The World Around,Tanja La Croix,spotify:track:33uV0G85zoAlzHYTJyaGRl,0.661,0.831,-4.964,0.0419,0.0411,0.00236,0.369,121.992
468,Oxas,GAMPER & DADONI,spotify:track:3Zg6kO3S4FQ0jMfTIgHzyl,0.756,0.591,-8.749,0.03,0.0276,0.391,0.481,125.003
469,Journey - Radio Mix,BUNT.,spotify:track:66MrwENuBlVccH7t848vjD,0.502,0.437,-17.997,0.0482,0.318,0.106,0.407,123.913
470,Freak - Sam Feldt Remix Edit,R3HAB,spotify:track:5SNTUBSq1Qzi0URdB443h1,0.636,0.77,-5.671,0.125,0.469,0.0,0.443,118.038
471,Twilight,Luca,spotify:track:2fvhV6sto6aEblNbnZmttv,0.527,0.447,-11.152,0.0685,0.905,0.39,0.147,95.771
472,Recognise,Lost Frequencies,spotify:track:510UgVCpnUaQ5ACHW2J8gu,0.717,0.741,-6.645,0.053,0.155,0.0,0.188,105.997
473,I'll Be Back,Sam Feldt,spotify:track:7iymoplUkeIAat6dSn6wrR,0.719,0.598,-7.327,0.0326,0.283,4.42e-06,0.503,120.085
474,Home,Steve Kroeger,spotify:track:3zE7oYotxr3EUTSSje7Ube,0.706,0.714,-7.092,0.0403,0.197,0.00387,0.57,125.088
475,Looking For Love,Nick Martin,spotify:track:3CIzp3oPhSkSMZjANQPtVV,0.621,0.893,-4.146,0.0431,0.0105,0.000115,0.459,105.005
476,Breathin' (feat. Cara Hughes),Bortharm,spotify:track:4QonXqjNiT2KXPkTkZy3tD,0.709,0.725,-2.658,0.0422,0.0371,0.000168,0.372,125.924
477,The Ocean - Radio Mix,Max Manie,spotify:track:29po4gh9mZvigdLh6YlKUe,0.744,0.79,-7.289,0.0398,0.0576,0.916,0.163,119.007
478,Alive,Horizon Blue,spotify:track:4eZiBjSsbi4ObiL8s5rzP7,0.623,0.715,-7.833,0.0319,0.185,2.31e-05,0.398,123.955
479,Too Good,A&G,spotify:track:2ZIMKOI0DT7wM3qTND0IWm,0.728,0.66,-7.122,0.0687,0.227,5.82e-06,0.697,108.103
480,Blackbird,Sam Feldt,spotify:track:61blBldjlrjCOiMnRfNSFk,0.696,0.739,-6.616,0.0352,0.201,0.000726,0.169,117.973
481,44th and 8th,Sean Bradford,spotify:track:3q1dhgO6MmeA7LUoz86BPh,0.841,0.691,-5.304,0.0374,0.425,6.01e-05,0.262,120.042
482,Miami 82 - Kygo Remix,Syn Cole,spotify:track:7l15QDWp4v3TYh5u3pQjxa,0.708,0.6,-7.099,0.0407,0.177,0.119,0.604,112.995
483,Montrose Ave,Y.V.E. 48,spotify:track:1kFu2TuUmsARXGYc2eYXiC,0.692,0.585,-6.456,0.0308,0.00116,0.895,0.667,121.999
484,Seduction,Boris Way,spotify:track:23OzWEhGGgu7RSqzKhsGhE,0.794,0.857,-5.463,0.0407,0.101,0.12,0.235,121.976
485,Tonight and Every Night,Robin Schulz,spotify:track:3nbtUMjRUH5VDwhvvcPRF8,0.77,0.641,-7.556,0.0852,0.283,0.000385,0.29,123.982
486,The Sun - Klingande Remix Radio Edit,Parov Stelar,spotify:track:5ahvjrjn7ymaeaWKFZrsca,0.612,0.761,-6.783,0.307,0.0935,0.355,0.46,124.928
487,Home (feat. Nico Santos) - Marcapasos Radio Remix,Topic,spotify:track:2NsWGd3UslepVF25pKw1sp,0.75,0.731,-6.289,0.0329,0.0493,2.55e-06,0.391,123.012
488,The Sweetest Sin,RÆVE,spotify:track:57wbOuofBE6Cb3mMPuQ24i,0.686,0.799,-4.816,0.0284,0.203,0.0534,0.159,124.002
489,Be Okay,Namic,spotify:track:60cDK8K6EAvk7SI7xOGVun,0.648,0.482,-8.998,0.0304,0.0769,2.21e-06,0.357,109.909
490,Spirits - Sondr Remix,The Strumbellas,spotify:track:2X7ImJ12Sd2mwW8m29x7Ka,0.65,0.882,-4.357,0.0692,0.0551,0.0,0.728,102.469
491,Baby,Bakermat,spotify:track:1bA2ZK7CFxEMnyn1dWP2jp,0.708,0.922,-2.715,0.116,0.135,0.0513,0.637,125.961
492,Maaya,Achtabahn,spotify:track:6p8uFTidsF68EHK5p753gU,0.829,0.765,-6.283,0.0414,0.632,0.76,0.736,121.982
493,Better,Hot Shade,spotify:track:69uCmYNvkqnvIpyTKJXZ5P,0.575,0.741,-2.904,0.0352,0.0826,0.0,0.365,109.987
494,Ha Leh Lou Ya,Robin Schulz,spotify:track:1gAbEXZi4ZrmA5KPQARXrD,0.708,0.777,-6.232,0.113,0.0097,2.62e-05,0.298,120.017
495,Oh Baby,Seizo,spotify:track:2MmmLzAFA2XmKB4hP843gh,0.696,0.798,-5.011,0.0345,0.0281,0.00119,0.388,124.023
496,Own the Night,Tropixx,spotify:track:0DHUariIorcAgunTr0GTy2,0.609,0.696,-7.811,0.038,0.337,0.000416,0.185,104.994
497,Regulate - Le Boeuf Remix,Warren G,spotify:track:6RBsFW2PBiJtCYZmNpia5G,0.85,0.729,-4.088,0.0496,0.0702,0.0498,0.731,111.99
498,Tired - Kygo Remix,Alan Walker,spotify:track:3t0J8vI9StQD8KIBkT2Cp5,0.598,0.74,-7.391,0.0684,0.026,0.0,0.342,123.945
499,Heaven,Alex Adair,spotify:track:3sFCrYlKCEnrTRfXEafPai,0.55,0.925,-4.573,0.0882,0.0352,0.000179,0.358,121.823
500,On My Side,Hounded,spotify:track:5hRVBXMn6TFyOncZTYl7ej,0.668,0.612,-6.664,0.0598,0.501,0.000111,0.492,115.006
501,Pacing,Tep No,spotify:track:6cWZQNgaL8yLtezJvag9Y9,0.549,0.594,-6.302,0.0496,0.65,3.57e-05,0.324,99.936
502,Praise You (Chill Mix) - Extended Mix,King Arthur,spotify:track:4MQH3f29tWW0P0DE6SgOlb,0.623,0.705,-6.035,0.0338,0.243,0.025,0.036,100.025
503,Been A While,Sam Feldt,spotify:track:4mPOYg53faLL6brBcoZ5T8,0.779,0.695,-6.064,0.031,0.425,0.000769,0.392,120.004
504,Ocean Drive,Duke Dumont,spotify:track:0k93MXOj0kSXo84SvSDeUz,0.689,0.711,-5.027,0.0455,0.00714,0.000499,0.566,115.048
505,Find My Way,Vall,spotify:track:71aQJIzGtxrrT1lhdteajB,0.722,0.528,-8.55,0.166,0.413,0.0,0.581,99.966
506,Dreams,Campsite Dream,spotify:track:1SNoSoQ3JZldOhzBY9gw0n,0.642,0.913,-5.249,0.0517,0.0291,0.00054,0.474,120.035
507,Coming Over - filous Remix,James Hersey,spotify:track:2kpziA4mHuM7Na6La4upg1,0.791,0.494,-11.077,0.0456,0.478,0.00475,0.317,109.998
508,Summer on You,Sam Feldt,spotify:track:7Ct0Q46k5PkXzYiNE5D2dn,0.731,0.727,-5.608,0.0356,0.0295,4.56e-06,0.601,120.968
509,Dizzy,Dimmi,spotify:track:7qBNJBQJJjQjYFZlP3IPhK,0.811,0.51,-6.474,0.0424,0.0197,0.072,0.641,125.035
510,Forever And A Day - LVNDSCAPE Remix,Bolier,spotify:track:4MmESCOyomLv2BmcHkVAQY,0.678,0.874,-6.768,0.0346,0.0283,0.0577,0.477,118.429
511,Fall At Your Feet,Lucy Neville,spotify:track:69lKbD1RGW41qnsksqtMuq,0.713,0.666,-7.636,0.0327,0.107,0.124,0.111,110.004
512,Feels Like Home - Radio Edit,The Him,spotify:track:7MCgEv2ovQuxfijz2WZ4kH,0.65,0.827,-3.792,0.0926,0.0265,5.88e-05,0.498,122.057
513,Ori Tali Ma - LVNDSCAPE Remix,Sander van Doorn,spotify:track:2ZdsweqvRBAoFs5c09oJk3,0.679,0.825,-5.59,0.0307,0.0148,0.318,0.0837,110.011
514,Chasing After You,Sam Feldt,spotify:track:67jtXlxQs82ATZhfdywYJa,0.613,0.914,-5.511,0.0426,0.0055,0.000905,0.36,124.974
515,Above the Clouds,Robin Schulz,spotify:track:6wHdTGv5xb3HU7As15DLda,0.575,0.601,-8.986,0.0761,0.0206,0.0224,0.204,122.012
516,Good When We're Together (feat. Cooperated Souls) - Radio Edit,Kav Verhouzer,spotify:track:2JvJVg3ad7qto5pTH5iOJt,0.681,0.814,-4.556,0.0317,0.0309,0.000267,0.586,124.047
517,Running Out - Samuraii Remix,Matoma,spotify:track:3bu38wOOaBOOf4OYi23R6a,0.522,0.306,-13.566,0.338,0.337,0.0797,0.223,185.828
518,Every Single Piece (feat. She Keeps Bees) - LVNDSCAPE Remix,Redondo,spotify:track:3jNA7We9ZToTbDQrjTwxcu,0.675,0.719,-6.393,0.0383,0.0271,0.0376,0.391,110.388
519,Right Now - Sam Feldt Radio Edit,King Arthur,spotify:track:3c9lsHSkV0F3O2E9512ERZ,0.657,0.941,-2.255,0.033,0.152,3.76e-06,0.615,123.075
520,Younger - Kygo Remix,Seinabo Sey,spotify:track:7vHshinTU8161w69EPbabY,0.69,0.489,-7.938,0.0788,0.13,0.00022,0.645,114.008
521,Future Self,Boehm,spotify:track:0Oom8UCxknB2ussaW0P9HL,0.804,0.864,-5.252,0.0291,0.364,0.0705,0.91,125.004
522,Do This Together,Kav Verhouzer,spotify:track:4O6WRfwTUx0UdVuWMC4jeR,0.9,0.568,-7.413,0.0376,0.52,0.00834,0.37,121.989
523,Claudius - Original Mix,Max Manie,spotify:track:5O32VeaZ74VRrhOyOcXi70,0.693,0.544,-7.147,0.0327,0.277,0.228,0.0992,119.024
524,Be My Lover,Sam Feldt,spotify:track:1aajQbw23khpQMme1AeKI6,0.748,0.742,-5.581,0.0284,0.0273,1.22e-06,0.754,119.966
525,Sunrise,On June,spotify:track:2lQsQkVilu43cjz7ZLeswm,0.621,0.633,-7.368,0.21,0.358,5.4e-06,0.438,116.206
526,Set The World (On Fire),Flatdisk,spotify:track:1UtjCEfOU9JaAMuGIhBPBx,0.713,0.722,-7.113,0.0611,0.175,1.14e-05,0.482,123.99
527,No Diggity,Campsite Dream,spotify:track:79T9m6YkRCgP0955CE4UCd,0.711,0.714,-4.714,0.0374,0.183,0.0287,0.389,104.912
528,Never Gonna Give You Up,Mac Beez,spotify:track:5fnDDcjcXKUvJ6iSnpiU0v,0.765,0.751,-5.336,0.0286,0.333,0.64,0.862,105.953
529,Dancer (Kygo Remix),Didrik Thulin,spotify:track:7ctdCk91bL7jjDx3hmbB5z,0.733,0.555,-11.67,0.0401,0.0389,0.0254,0.839,119.999
530,Riptide - FlicFlac Remix,Vance Joy,spotify:track:5K9AcgSi8DK4lZKM2LpFu8,0.708,0.667,-7.934,0.0418,0.253,0.000692,0.634,115.987
531,Panamalu,Fabio Carry,spotify:track:6RxxunHQUOtYojwJGDLB51,0.705,0.55,-6.469,0.0355,0.115,0.0,0.449,114.992
532,Beat the Sunrise,SNBRN,spotify:track:7th2B8tA26On1RAt2WmnMI,0.71,0.824,-6.001,0.028,0.0119,0.000574,0.208,124.0
533,From Me To You - Edit,Yolanda Be Cool,spotify:track:1AgZA1lTtCXeIbhXrIup4W,0.633,0.956,-2.26,0.0358,0.108,0.0402,0.596,123.971
534,Almost Mine - Radio Edit,Wankelmut,spotify:track:0elb6lDN4B5Ao3TWoXYUzs,0.708,0.8,-5.072,0.0427,0.0513,1.02e-05,0.484,122.062
535,Catch & Release (Deepend remix),Matt Simons,spotify:track:4FqrgfKej2jv450UFW6PP8,0.836,0.537,-8.609,0.0448,0.516,0.00128,0.115,105.014
536,Come to Me - Radio Edit,Lily & Madeleine,spotify:track:2aFujKFsDGMuV6BXsdyU9y,0.791,0.695,-7.879,0.0482,0.125,0.0119,0.45,127.045
537,Wherever I Go,Michael Brun,spotify:track:3wc0kpZM2lv5UlbA9NFteg,0.723,0.61,-9.319,0.135,0.495,4.13e-06,0.415,127.901
538,Where the Rivers Flow - Radio Mix,Sons Of Maria,spotify:track:179wSw6TBxrM4aiEJ6SIyH,0.701,0.844,-4.485,0.0766,0.0312,5.37e-05,0.24,120.004
539,Stuck On You,On June,spotify:track:6HdURgU5JoS6IbMrTCC3QM,0.729,0.515,-6.003,0.0351,0.494,1.66e-05,0.398,120.994
540,Miracle In The Middle Of My Heart,BCX,spotify:track:144AU6jf1J8fl0wLaQw4e8,0.757,0.627,-6.441,0.0284,0.42,0.000868,0.212,115.017
541,Somebody Else,Zonoma,spotify:track:6UW9S0skvWZ9PUvLti7aZP,0.694,0.518,-7.289,0.0345,0.00913,0.00016,0.184,106.964
542,Leave The World Behind (feat. Kaleena Zanders),SNBRN,spotify:track:5Yn4h3upuCzhwfOffa0Liy,0.694,0.889,-4.481,0.0355,0.0245,0.242,0.0955,121.932
543,Talking About Love,King Arthur,spotify:track:1RU2RF3jSyU8o3QbOpTroT,0.682,0.935,-1.503,0.0336,0.00978,0.0106,0.412,125.995
544,So Good to Me - Radio Edit,Chris Malinchak,spotify:track:3fDrZa4ksxA5lgi0utGu6k,0.72,0.469,-12.633,0.0394,0.148,0.0807,0.369,121.028
545,Easy Love,Sigala,spotify:track:6Sr8JkH7XRVk7Dnar9Xsr5,0.681,0.948,-4.198,0.0607,0.188,0.00103,0.675,123.989
546,Midnight Sky,Sol Calor,spotify:track:7JuGl6cntiqvXVgXJFSggk,0.669,0.623,-7.057,0.0413,0.101,0.0481,0.184,90.761
547,Safe and Sound - Radio Edit,NLSN,spotify:track:340sV0G2e1h5jWsMyDRmc9,0.793,0.722,-3.928,0.0383,0.000601,0.00287,0.644,120.012
548,Riverbank,Bolier,spotify:track:4eG4eNTXUDHpaWsbsTTBcU,0.616,0.794,-4.761,0.116,0.184,8.56e-06,0.407,119.968
549,False Alarm,Matoma,spotify:track:5jJnlACnwFvyqNXmUZu8Nd,0.643,0.732,-6.762,0.0294,0.00681,4.57e-05,0.181,102.979
550,Call Me Over,Dusky Grey,spotify:track:65AuuSC0parBq0hAFyA22v,0.834,0.65,-4.705,0.0381,0.169,0.0,0.509,105.023
551,Fast Car,Jonas Blue,spotify:track:2mCF8L0brIs88eH6Kf2h9p,0.644,0.57,-6.994,0.052,0.484,0.0,0.527,113.945
552,Wishing Well,Sam Feldt,spotify:track:3a4UuAErF1VMAkwqzkc1tj,0.698,0.653,-6.365,0.0521,0.424,0.0,0.381,100.976
553,Run For Your Life (feat. Natalola),Mako,spotify:track:70CtpUY5b3kJHXxKtMO9Hk,0.61,0.726,-6.833,0.0483,0.0225,0.0,0.644,104.087
554,"Sunday - KlangTherapeuten ""Looking For Summer"" Remix",Max Manie,spotify:track:3YcAw0Uc94mb7n8DHMFWRa,0.655,0.54,-10.11,0.031,0.0178,0.86,0.375,124.041
555,Blessings,Tropixx,spotify:track:0OlDAMgVVj8MlOY9CVgipd,0.654,0.605,-8.205,0.0293,0.0563,0.0,0.364,109.978
556,Wild Church,Kungs,spotify:track:58aeU18mt15CnihIz4MsS3,0.507,0.738,-6.982,0.0559,0.0805,0.547,0.355,123.935
557,I Got U,Duke Dumont,spotify:track:4r8hRPbidDIoDPphxi78aY,0.653,0.756,-7.794,0.0366,0.00364,0.00651,0.42,120.82
558,Open Your Eyes,Sam Feldt,spotify:track:3PmAQYQZ1ow47InQjZjIH4,0.663,0.855,-6.017,0.0399,0.00225,8.21e-05,0.367,121.958
559,Rivers (feat. Nico & Vinz),Thomas Jack,spotify:track:0MN3acIATtEXWJxy3UKoy4,0.629,0.695,-6.338,0.039,0.444,0.0,0.451,122.015
560,Sexual Healing - Kygo Remix,Marvin Gaye,spotify:track:7s1upm7yr7ZjrzXMwHawtG,0.689,0.68,-7.196,0.0427,0.321,0.0211,0.646,100.987
561,Pumped Up,Klingande,spotify:track:6lFbdi743kgerMZDjSqbuA,0.732,0.734,-6.423,0.107,0.00719,1.49e-05,0.643,123.033
562,I Bet My Life - Alex Adair Remix,Imagine Dragons,spotify:track:3bnEhDlFFXeCyyYhbRszW7,0.578,0.506,-9.114,0.28,0.0898,0.000222,0.575,116.951
563,When It's Over,Sebastien,spotify:track:7yebvgOaP8l5WkYh59dPxh,0.657,0.882,-5.202,0.126,0.152,0.0,0.286,119.917
564,Something Good - Radio Edit,MOUNT & Nicolas Haelg,spotify:track:0BGsenauCQGUHZrJ6SDXEm,0.813,0.809,-6.761,0.0706,0.0559,0.163,0.471,122.994
565,Carry Me (feat. Julia Michaels),Kygo,spotify:track:3FZEv9JddkjHNFiMVxJYpS,0.621,0.551,-7.89,0.0474,0.486,0.0,0.222,105.052
566,Hold on to Me (feat. Cara Hughes),Bortharm,spotify:track:1h5B6MEYfJirpquD2wXXWo,0.591,0.758,-6.984,0.0558,0.0145,0.0233,0.179,123.97
567,Karibu - Radio Edit,Lago,spotify:track:5ZTPowK41qACT8FFuorbXW,0.81,0.781,-8.26,0.0502,0.00128,0.524,0.865,116.012
568,One Day (Vandaag) - Radio Edit,Bakermat,spotify:track:0GSU6yLOJqO10ziQuBLWOE,0.656,0.594,-6.043,0.0307,0.716,0.0802,0.57,127.992
569,Fade Away,Sam Feldt,spotify:track:1oLxfF4dmgoKunk9LCQBCX,0.69,0.713,-3.246,0.0329,0.0314,0.0,0.388,105.06
570,Cold Ain't For Me,Oceans,spotify:track:43NJeiVFjYj6RtvAKWLnDo,0.643,0.84,-3.423,0.031,0.00212,0.0,0.356,105.027
571,Boy Oh Boy,Möwe,spotify:track:59bem62WIxhdH76jIWEm6S,0.697,0.785,-4.78,0.0276,0.00706,2.59e-05,0.414,122.028
572,Music In You,Sebastien,spotify:track:0t3uSTVVYGVYVKJUlOMqfk,0.739,0.659,-5.361,0.0967,0.242,2.21e-06,0.44,117.016
573,Wave Goodbye (feat. Jeffrey Jey),Robin Schulz,spotify:track:115ndcAyWMabNy7WgUzP7t,0.715,0.668,-5.083,0.0507,0.0357,0.0,0.377,124.014
574,Fires (feat. Scarlett Quinn),Tim Arisu,spotify:track:5wNJY5ICnoVqzrfZMfHx7l,0.75,0.532,-5.935,0.0486,0.00219,2.68e-05,0.294,125.002
575,Land Down Under,Chachi,spotify:track:5bAkVFcWMvxfgJ03rBn38s,0.699,0.803,-3.995,0.0327,0.102,6.54e-05,0.244,119.927
576,If You're Hearing This,Hook N Sling,spotify:track:1aJ1xeEQ1ivKGnTeuYolJk,0.71,0.563,-8.004,0.0403,0.125,0.0,0.427,101.931
577,Living (feat. Alex Clare),Bakermat,spotify:track:63Qco1ncI5U4qEUnxL1DsH,0.762,0.821,-4.087,0.0453,0.0605,0.00341,0.858,121.98
578,High And Low,Sam Feldt,spotify:track:4PwXNVqkIM8KBuEgYFqDiE,0.661,0.681,-5.375,0.0329,0.394,6.47e-06,0.386,114.978
579,It's Alright,MIKVH,spotify:track:3v6BeiV6taiWj17N51lJ3M,0.744,0.908,-3.09,0.0568,0.104,2.33e-06,0.468,123.008
580,Savannah,Diviners,spotify:track:61lDxV5pn2UdumqMpdxCKG,0.652,0.776,-3.133,0.0392,0.373,1.32e-06,0.387,108.077
581,Sunset,A-SHO,spotify:track:5jUgFofZJCuSQjcYao0VMv,0.619,0.612,-7.696,0.0313,0.411,0.0,0.707,118.069
582,Rise Up,Thomas Jack,spotify:track:2sTe3y5xjQvVb9tDTVaI35,0.721,0.925,-3.539,0.0455,0.0652,0.000158,0.355,114.032
583,Leave Me Alone,Sam Feldt,spotify:track:1YEgACMNGb2EGptiOodOyZ,0.591,0.67,-5.105,0.0443,0.233,0.0,0.547,104.81
584,Cut Your Teeth - Kygo Remix,Kyla La Grange,spotify:track:1y4Kln6VEjQMpmHW7j9GeY,0.674,0.678,-8.452,0.0406,0.59,0.222,0.465,99.985
585,We Come - Radio Edit,Boehm,spotify:track:4yRuPrh3Zf5NFJjbC6NvKp,0.655,0.863,-5.149,0.0264,0.0449,0.000418,0.274,122.05
586,Anymore - Lost Frequencies Remix,Alphabet,spotify:track:5Ov2PopcdXsm6ja4j9AsHE,0.798,0.513,-6.325,0.0386,0.0114,0.107,0.248,123.982
587,Starboy - Kygo Remix,The Weeknd,spotify:track:6LJFgCd9wU2VptHEwz2Wl3,0.752,0.606,-7.162,0.0912,0.207,1.26e-06,0.409,93.024
588,Ain't Nobody (Loves Me Better),Felix Jaehn,spotify:track:3vbqb78xzvD3CJl7ZeW83c,0.777,0.564,-6.967,0.0315,0.683,0.000252,0.465,117.973
589,Feels Like Home,Sam Feldt,spotify:track:4cdd0akl3V1b4HdaVpSvaB,0.696,0.851,-4.396,0.0333,0.131,7.78e-05,0.455,118.007
590,Immortal,Tropixx,spotify:track:0V6kdRf7G8ajCIdjiLx8vI,0.652,0.699,-7.812,0.0277,0.0178,0.000618,0.533,117.977
591,Ghost - Lost Kings Remix,Halsey,spotify:track:4ehErMHPM40f92dks3vb2p,0.705,0.862,-4.861,0.0332,0.406,0.00311,0.455,105.019
592,Lovers Friends,Möwe,spotify:track:23GHwhFGMi2mNTD4CtyOCA,0.752,0.725,-6.491,0.0825,0.551,3.44e-05,0.861,100.017
593,Losing U (feat. Daylight),Klingande,spotify:track:1rsn0LRt5IpGp9a2KC5bTW,0.617,0.675,-6.695,0.0316,0.0938,9.45e-05,0.224,122.009
594,I Wonder,The Him,spotify:track:7s9ilGkrbrUU2SV5gLZmkv,0.767,0.51,-8.72,0.064,0.0631,0.000566,0.389,100.02
595,Old Man,Andrelli,spotify:track:5ZXmCqIzh9cRaMMfdtHuyZ,0.603,0.67,-7.844,0.0369,0.401,8.15e-06,0.385,95.019
596,Bring Me Down (ft. Bright Sparks),TV Noise,spotify:track:1VPRoO8oPV8dIW47js8EA0,0.67,0.766,-4.88,0.241,0.39,7.27e-05,0.398,107.873
597,Often - Kygo Remix,The Weeknd,spotify:track:27NV2KxoQ8WuLMqlTDI61F,0.523,0.491,-9.876,0.0491,0.123,0.0,0.408,80.156
598,Tripping Off,Kungs,spotify:track:5JdhojQ6h2Cy2t6uH5jPAa,0.717,0.614,-7.082,0.0328,0.13,0.000312,0.42,123.999
599,Into the Blue (feat. Pearl Andersson),Jewelz & Sparks,spotify:track:5LjUA2CYBNR0Rehpv6XryW,0.71,0.891,-5.281,0.0411,0.328,0.00362,0.613,110.01
600,Old Guitar,BUNT.,spotify:track:38tGRxFP5NkWbtOWsXbQ0L,0.486,0.854,-4.859,0.0569,0.0739,1.07e-05,0.469,123.942
601,Beautiful Life (feat. Sandro Cavazza),Lost Frequencies,spotify:track:5QdB0HJmTHkPvyJhKfQLM1,0.725,0.523,-6.494,0.0373,0.141,0.034,0.326,120.0
602,Jubel,Klingande,spotify:track:1sQ6MIoJOmqBhwomBBLE9g,0.698,0.476,-7.459,0.0417,0.185,0.238,0.181,124.986
603,I Love It When You Cry (Moxoki) - Boehm Remix,Steve Aoki,spotify:track:0UhyQ3rTGmSf64TwmKLu3i,0.701,0.675,-5.956,0.0394,0.021,0.00301,0.439,119.993
604,All I Wanna Do,Martin Jensen,spotify:track:0BiGd2FNDQ0eh79ZHfp6tS,0.728,0.794,-3.992,0.0635,0.148,0.0,0.523,112.071
605,Once You Go Up - Original Mix,Nungwi,spotify:track:5Xq0GIfQuQMPGxqKxl2UDe,0.713,0.863,-5.19,0.0385,0.0401,0.000118,0.44,114.019
606,Little Do You Know,Campsite Dream,spotify:track:5lIat5pyge2yKkV20FlgQ7,0.698,0.757,-5.821,0.0447,0.0827,0.0,0.349,95.03
607,4 Life (feat. Graham Candy),Robin Schulz,spotify:track:6OKaib6HaebKVCL5VOoIGR,0.678,0.812,-2.698,0.0407,0.0365,1.48e-06,0.293,110.035
608,First Time,Kygo,spotify:track:2Gl0FzuLxflY6nPifJp5Dr,0.633,0.592,-7.245,0.112,0.197,0.0,0.679,90.066
609,Don't Say A Word,Sam Feldt,spotify:track:1fappIhSOUyng8mHEfYzkP,0.774,0.679,-5.843,0.0649,0.3,0.0,0.641,100.005
610,Netzwerk (Falls Like Rain),Klangkarussell,spotify:track:40Dr5okORyoCbAgOBnYzio,0.551,0.714,-6.185,0.0384,0.00456,0.000128,0.231,128.021
611,Breathe,Seeb,spotify:track:6s5smacBOoWoI08Vi6EX5T,0.525,0.773,-5.623,0.185,0.00583,6.04e-06,0.381,119.947
612,Talk About It,Mike Perry,spotify:track:1XRTXNP8eLpWXfso8Q4dC5,0.678,0.594,-5.673,0.0319,0.0543,0.0,0.526,123.975
613,Bloom,Sol Calor,spotify:track:0mi3tBUwtdYwXCFdZ6QHAZ,0.66,0.691,-7.563,0.0311,0.00201,0.00168,0.208,101.716
614,Hometown Girl - Radio Edit,ZHU,spotify:track:5eFOExv6nyEaYfB9WawILl,0.754,0.659,-8.126,0.0591,0.0299,0.0281,0.598,100.001
615,Thinking About It (Let It Go) - KVR Remix,Nathan Goshen,spotify:track:0yJv0G7r1PZIl1CY5XhvkR,0.694,0.765,-7.078,0.0297,0.0136,0.0,0.577,100.985
616,ID - Ultra Music Festival Anthem,Kygo,spotify:track:4SBqydJCEhcroni09XgT2c,0.686,0.678,-8.063,0.0425,0.623,0.719,0.338,105.005
617,The Sea Inside,Mano Le Tough,spotify:track:0UgXbcumMvXTdIpUMXRfRP,0.642,0.662,-9.153,0.195,0.234,0.809,0.106,179.97
618,Sister Golden Hair,America,spotify:track:4BCmdMShfg9uz1WeyXaFae,0.402,0.76,-5.332,0.0344,0.148,0.000225,0.714,135.947
619,Highway Star - Deep Purple,Megarock Hits,spotify:track:1GuflZBOKGX6uCFXdysSU2,0.286,0.895,-7.547,0.0544,0.0368,0.059,0.391,173.66
620,I'm a Believer,The Monkees,spotify:track:5RKZ9zCtLjBLTea7qkSFqr,0.519,0.772,-6.784,0.0331,0.534,1.21e-05,0.961,79.618
621,"Sugar, Sugar",The Archies,spotify:track:4GAI8BxeMgrvhZNEU59UfR,0.757,0.647,-10.264,0.0299,0.757,3.08e-06,0.97,122.771
622,You'll Be In My Heart,Phil Collins,spotify:track:0xEIhF83JaaXLG0RPUViHJ,0.569,0.739,-6.54,0.03,0.0644,3.84e-06,0.653,96.652
623,Walk on the Wild Side - Remastered,Lou Reed,spotify:track:5IWaBDlSj7YMGW7IFGLFEV,0.554,0.282,-18.052,0.0997,0.666,3.17e-05,0.396,104.425
624,En Marcha Estoy,Phil Collins,spotify:track:5dfp6KnLLkktpAYg1nFlEm,0.467,0.702,-8.146,0.0395,0.422,1.13e-05,0.54,203.814
